Type	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
C1	NA	526.078328981723	24.147954743255	42.9758474471625	0.389895862739274	0.980996649104903	1149	256	19.000028872542	3.27484283464027	12.0680399610283	27.4672548410098	0.457891772897148	0.159512032736976	0.168609411764706	0.158745098039216	0.207843137254902	0.443137254901961	0.745098039215686	0.827450980392157	525.514423076923	23.8918455575432	42.9329023102031	0.414675469398742	0.954202428619986	0.419862924761861	0.561057816955217	0.589365120808079	-0.742027989469045	-0.504431077608829	0.397508919060081	1.36341305816258	1.67562616827869	525.674127011816	23.5635322829965	48.4456249988835	0.486935237708375	0.885087993076177	0.00360855616470401	35.331709693132	0.306267919675226	26.4649530382041	0.216406130640303	29.5543107647345	852.436837003804	1.52024693973549	2.55524725545937	35.331709693132	1.11040445673677	0.0415547256909601	0.320567199192353	0.00373020004123151	48.7459978655283	0.0929526496633448	27.8707018698838	0.16032679302029	30.1248665955176	878.807884586676	1.48798347300113	2.53072261042401	48.7459978655283	1.17001780449201	0.0624832978573555	0.388074704083232
C2	NA	794.581267217631	6.67493112947658	31.9056739878874	0.877228740445457	0.030830614781781	363	77	10.9631384424613	3.15921181196203	5.21465363971789	17.3418011500443	0.491481661535137	0.0833303673105677	0.0813976470588235	0.325882352941176	0.372549019607843	0.486274509803922	0.646666666666667	0.704941176470588	793.870730206181	6.54684134171539	31.7696910698485	0.878360208348998	0.0531690039870432	0.602000414219614	0.401872508651707	0.441456165532131	-0.0751623577132533	0.00593756300315867	0.571049108844195	1.29019434840782	1.7553216596181	793.379498012707	6.18184736683932	34.8306657075438	0.891109361553686	0.069054299929874	0.016367208679054	7.91761148904006	0.404715178715408	7.6502716060809	0.389356929779682	31.6182917611489	941.567411754505	1.23928689233825	1.93457697315229	7.91761148904006	0.803325887869555	0.074766271181599	0.373516071732601	0.0186192995716805	6.13968253968254	0.48426579346588	6.95237087427565	0.36640720876015	31.1492063492063	913.934008065246	1.21153431032153	1.80707626697989	6.13968253968254	0.748792081647827	0.0928724523303368	0.401724222684646
C3	NA	932.992496589359	15.4079126875853	62.1910737056323	0.829693262391079	0.189364558655811	1466	308	21.9647038552635	5.65453233926308	12.3117037234821	35.346799436342	0.448465880212931	0.170539953722127	0.194772941176471	0.129411764705882	0.188235294117647	0.437254901960784	0.733333333333333	0.824901960784313	932.426298836862	15.1199940351924	62.0233527034719	0.826072302660635	0.206991365104604	0.397701904196088	0.606044336697583	0.604779541808156	-0.948972859960944	-0.625091691920937	0.38882771130762	1.39884348117882	1.85261303837414	933.116690708938	14.6056836286725	66.0571760681813	0.80828276919489	0.245898249696324	0.00327425216462205	38.84404536862	0.325888672641145	29.8112985141562	0.236659022233902	28.8875236294896	823.719661005631	1.55039663491268	2.58963197791723	38.84404536862	1.12278768229037	0.0460989546116782	0.33915335134064	0.00357946373147209	52.5603112840467	0.0661048604827657	29.1403709367288	0.191981872812691	28.652140077821	797.665592875667	1.49216179335254	2.55797777201659	52.5603112840467	1.18510026887923	0.0608100609463394	0.384995298384435
C4	NA	13.4186046511628	50.6700581395349	45.2534361831526	0.845507588795851	1.0274144705378	688	189	15.4176813416155	4.58363346099943	6.95599996004431	25.5248547611228	0.460077519379845	0.178079868577886	0.206401176470588	0.128901960784314	0.188235294117647	0.441176470588235	0.756862745098039	0.807843137254902	12.8633975915556	49.9106125179642	46.0389946295545	0.855771437535519	0.98328693680755	0.466367509627504	0.610786230316651	0.657712135082309	-0.784401950185951	-0.459889904442745	0.409771895114865	1.50680839912343	1.9468025742199	12.2838321770976	48.6106261600383	50.7429680165511	0.875116621970483	0.907508826034854	0.00344454463816543	43.4259818731118	0.292569598772236	31.6927591730187	0.209994149128566	29.3810962451446	853.786895526325	1.55230107346383	2.57260514772568	43.4259818731118	1.14916441721679	0.0486897077057126	0.347109802717441	0.00396919250488281	60.517578125	0.0812864151414658	33.9360418319702	0.157522931184818	29.146484375	835.158781006688	1.50716108726723	2.47967399305922	60.517578125	1.21187619414716	0.109525396843599	0.499729670106217
C5	NA	268.473958333333	50.3385416666667	44.8907911999367	0.319528113405902	-0.674493069248364	1344	159	20.8521699147904	1.27353126502716	17.8286490078746	24.5646183335638	0.446918767507003	0.142044704277863	0.156981176470588	0.184313725490196	0.231372549019608	0.435294117647059	0.698039215686274	0.772549019607843	267.318225739058	49.3595594380027	45.4900207278663	0.374252216394938	-0.757576383459115	0.359299883440996	0.400553150511865	0.40741632673373	-0.571868213504055	-0.29873862933976	0.366409666162146	1.01185100526669	1.25733744329771	267.391059733728	49.3821808202685	49.7466593621296	0.383942682811796	-0.762550437868129	0.00470552464281429	23.8100581045883	0.395713910233031	20.7009814620836	0.246353150189767	28.9889801642957	812.153086411989	1.47245388156443	2.43430096211185	23.8100581045883	1.02970340372191	0.0421286116755979	0.315372409775283	0.004530960217054	28.212730318258	0.359811079642992	23.0346911834437	0.232373332465694	28.7219430485762	801.450674621877	1.49099300627398	2.44082766224225	28.212730318258	1.06167055269193	0.0668779572077124	0.394200321827229
C6	NA	433.359343936382	64.8802186878728	58.3255658849298	0.5375250624572	-1.05040901744371	2012	416	25.2258919673908	3.98737391110052	14.3203537468497	34.191843279056	0.485385724866487	0.171266982661137	0.203494117647059	0.156862745098039	0.207843137254902	0.490196078431373	0.752941176470588	0.850117647058823	433.06650952488	64.8612909184362	57.760550823581	0.548425553117995	-1.0248199909291	0.379619825126335	0.609951894350674	0.626173397795697	-1.09764326462553	-0.679246288914903	0.410993159731145	1.29002979020719	1.68944690470518	434.31417069401	65.5009810601923	65.1211321116789	0.592221290059967	-0.999163543763923	0.0030302237636051	38.0370522848909	0.34735734167535	30.1407953492753	0.212149878118624	31.3783449979415	967.87571920226	1.55638010476172	2.60341880796211	38.0370522848909	1.12459409334841	0.0364208559565769	0.30341462148596	0.00312506953097186	50.4433962264151	0.129971192356302	29.989497694353	0.171145505656615	31.1521226415094	944.139182558176	1.51052032302503	2.58754881224805	50.4433962264151	1.18121947004527	0.0401591300485552	0.317197150655958
C7	NA	782.15796178344	66.331847133758	49.7547004127504	0.376885962147851	-1.29385858190323	1570	324	22.4813140783381	4.00254994317262	13.9042932406788	33.5383839456119	0.457204945672537	0.176779232328856	0.203494117647059	0.12156862745098	0.184313725490196	0.450980392156863	0.756862745098039	0.850980392156863	782.077091596464	65.5246009112663	48.7623282152372	0.350688089182051	-1.13847541400373	0.362944318007072	0.563258733295352	0.549254806021606	-1.03407602871612	-0.561943091585992	0.364220355645442	1.30000005793352	1.59648087520008	782.948065324971	65.0431896140316	53.1554070997212	0.306889957494065	-0.857375435887834	0.00280550619604502	42.4230160126694	0.319511439982075	32.1709986803829	0.202451663601934	29.6153440084462	868.950389703354	1.56735992768757	2.63967276007199	42.4230160126694	1.1480646880864	0.0354911715775423	0.301612979474623	0.00291710026619995	55.6750195771339	0.12775161935676	32.9146591800354	0.173077646049213	30.3140172278778	900.277483956495	1.53392225212269	2.613692620852	55.6750195771339	1.20006731912597	0.0478317010195567	0.346723899530735
C8	NA	696.655290102389	70.6373720136519	45.4834289067829	0.550082043748945	1.42179509165243	1172	317	19.8039855183614	3.81170341496352	12.6864100105235	31.8727044534337	0.457608913872716	0.159730922649289	0.174423529411765	0.142823529411765	0.215686274509804	0.450980392156863	0.729411764705882	0.821882352941176	696.125379311353	70.0773027398162	45.4429662901069	0.546633887489911	1.4243921660799	0.396231111505498	0.502372733453921	0.530391632298917	-0.75248462087406	-0.455225726707722	0.432319936371785	1.19508421813343	1.45627466063619	696.366393168089	70.2602526555436	51.175715832918	0.574261520526958	1.33371527169628	0.00344954288716229	36.3117261471231	0.296617039132435	26.8122020060991	0.214551326151281	29.4561786841466	847.169654690852	1.52353518565944	2.56642971817312	36.3117261471231	1.11460422135819	0.039770917222007	0.314485277714737	0.00406141529375622	44.745182012848	0.153717416570963	27.4363126980269	0.1857193080869	29.1306209850107	824.794217131204	1.4937950393283	2.50044204276816	44.745182012848	1.15520042150034	0.064937162127747	0.393057774417476
C9	NA	874.583850931677	74.6690328305235	44.3477144154017	0.464646272916684	1.15392719674665	1127	335	18.8288192029281	4.2114225372197	7.19260157990077	27.914995080118	0.48605529168189	0.171590083916303	0.19768	0.172549019607843	0.235294117647059	0.470588235294118	0.780392156862745	0.862745098039216	874.859104413502	74.5668539929126	43.013947684524	0.43117030923891	1.00205436204004	0.4363934999874	0.578294817862497	0.528679799975953	-0.952368403194575	-0.556866896045767	0.467329046428549	1.39789982831235	1.73446769852924	876.11284248082	73.7145177122921	47.9952802072655	0.468919333728932	0.721440327058677	0.00303731602496403	43.0900969882593	0.284622178202504	31.1170204577973	0.213266143617406	31.4116896375702	969.077043493799	1.55035914727105	2.60482864806585	43.0900969882593	1.15000243870517	0.0361068489215374	0.302220637024572	0.00363308348039083	59.4585575888051	0.0608904311719082	32.6568798585467	0.173294788334833	31.9666307857912	994.480723923079	1.51483671585667	2.54569857155825	59.4585575888051	1.21309877152556	0.064552066596885	0.39519065520806
C10	NA	139.100182815356	83.3126142595978	67.45879807881	0.561261654650229	1.09731012115875	2735	411	29.6673275008501	4.66391538510249	19.3025660579837	42.9069355095069	0.501230956733699	0.183556872877091	0.220936470588235	0.16078431372549	0.219607843137255	0.509803921568627	0.796078431372549	0.890196078431372	139.071078550566	83.8208918932063	63.8517464926303	0.471920370850349	1.13821782744642	0.33924341196923	0.591501560267135	0.538791079497899	-1.25848943819646	-0.715869864583102	0.361995868741298	1.24192406026267	1.71641033207795	139.044668681386	83.6988484522039	68.1131251451715	0.437277918866065	1.13828578428109	0.0028019676499534	41.4466686291826	0.37373359701654	34.0902858845179	0.216776460858107	32.3869100186439	1039.54150785554	1.587120523476	2.64617412121984	41.4466686291826	1.14226999378762	0.0391882340792543	0.316811787971432	0.00271105737060983	55.8999594977724	0.165389536219267	34.4886524454471	0.170344248146515	32.6614013770757	1045.84240286774	1.5521141370291	2.65301472488032	55.8999594977724	1.19853569429731	0.0334262855094991	0.293667137607279
