Type	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
C1	NA	368.301886792453	8.89985486211901	48.4945019189935	0.891373068928387	0.0238062561925899	689	163	15.9148597186814	5.53722481370039	5.99088785786001	28.4480141720225	0.379731921796295	0.10841539400236	0.116282352941176	0.188235294117647	0.227450980392157	0.368627450980392	0.578823529411765	0.666666666666667	367.491703763658	8.46427447277306	48.776420096891	0.897066209190294	0.0377967440654814	0.385898116978468	0.371837618892386	0.370928471716591	-0.269156257048029	-0.157959956094329	0.362073518205565	1.08507175049719	1.3381592561402	367.618783521226	7.70106071791276	53.5721937423626	0.899516863446587	0.0334538666263376	0.00838852067685062	16.5153123723969	0.278998892689779	12.4530423080828	0.283172820664079	24.6982441812985	575.035133424782	1.33720232600343	2.20945345750881	16.5153123723969	0.955973024755203	0.030994751780726	0.259220608573568	0.00930528161297396	18.3264957264957	0.250781483084223	13.2304076265615	0.256560912000315	24.8461538461538	583.399055491366	1.33437125291742	2.17528549356364	18.3264957264957	0.968567742636923	0.064639922319398	0.367753820151662
C2	NA	457.225015518312	30.1840471756673	68.1379304444051	0.363725474942814	-0.231902865854439	3222	423	31.4458586924892	3.73498114651025	21.8405968195269	39.8663232085769	0.40499507065396	0.134282266683144	0.133724705882353	0.149843137254902	0.196078431372549	0.4	0.643137254901961	0.724666666666666	456.700436967315	29.5139354706865	66.5714789667859	0.371496162139215	-0.34422936179413	0.270667427693141	0.40047713162437	0.405863832238563	-0.660059514544961	-0.401981527842391	0.28505148312639	0.913872276152341	1.18644132020682	457.158417935862	29.4107869128438	70.6407688327607	0.314562839549163	-0.380012897791984	0.00504989456249072	22.9947081197288	0.357428562040336	18.8927250429488	0.260505704172617	26.3151976186539	666.670307082816	1.4536989705283	2.4171325964661	22.9947081197288	1.02038078536968	0.0377385402833043	0.297963517863127	0.00470743327076637	28.7284541723666	0.203315020117617	19.0299961075004	0.219229374202102	26.2134062927497	657.696680971444	1.42822623058733	2.43082823580978	28.7284541723666	1.06642105689846	0.0261971672439965	0.249976546398012
C3	NA	644.939130434783	13.8321739130435	49.9504533563976	0.743153698548642	0.00766635714405014	1150	232	18.9864180951575	4.57212054401742	9.07319395490918	29.7148010302533	0.364044330775789	0.119261900995137	0.119189411764706	0.152941176470588	0.196078431372549	0.347058823529412	0.588235294117647	0.666666666666667	644.461126306718	13.3346228783394	49.9687372703277	0.742946151123435	0.00992925051645101	0.307695231522577	0.380464522207635	0.364072945063489	-0.52165032248187	-0.291172948966583	0.305734662907295	0.979788655387105	1.24076063158152	644.438595618549	12.748820652355	52.0577606924356	0.707381386136957	-0.0176662334153246	0.00693725008910463	21.6255707762557	0.237218239852345	15.1754640095678	0.273862873545817	23.6548906512857	531.371242179513	1.37721220586649	2.29815361175397	21.6255707762557	1.00678021548598	0.0295116312286969	0.257918844386565	0.00701190787956693	28.1797752808989	0.0737874034012565	16.2123688364751	0.234246430962705	23.8181818181818	537.246572860928	1.35539319352689	2.28547529112261	28.1797752808989	1.05847630739098	0.0487734252814844	0.328589640910577
C4	NA	726.795551753636	12.4585115483319	63.6404548144895	0.884772207271453	-0.0796053210572139	1169	293	21.4871683054811	7.36086559509957	5.23017693614203	38.9138780432761	0.37136818799376	0.126730749147424	0.127910588235294	0.125490196078431	0.172549019607843	0.364705882352941	0.607843137254902	0.683607843137255	726.351788117757	12.1548196525839	63.3286944145531	0.884907001855005	-0.0722714927283787	0.338733371762857	0.466589551514188	0.411823923983168	-0.634461080171756	-0.389215750435461	0.330392350709154	1.14711504662487	1.67610918105426	727.153843394505	11.4256237001612	67.596073830598	0.870533884440815	-0.0579846487562816	0.00605577204620591	22.4563176895307	0.311754661194201	17.3141807313184	0.273233524734953	24.0389891696751	554.233536554357	1.42410178727555	2.36603717261317	22.4563176895307	1.01809434106847	0.040640854845763	0.305759939465761	0.00567984738120013	32.4720430107527	0.0479963067026566	18.0545782749451	0.208148530693333	24.2913978494624	561.125210617645	1.37025170602928	2.36207573703894	32.4720430107527	1.09084957963431	0.055570755461762	0.355381617309908
C5	NA	831.752417794971	11.9825918762089	56.5543205589654	0.833875530680844	-0.0757628843304625	1034	318	20.8682520073705	6.85673840875599	7.60841566974353	37.6231052931131	0.393996283232829	0.135584044983043	0.145352941176471	0.132	0.186862745098039	0.384313725490196	0.631372549019608	0.717647058823529	831.051961303364	11.6357510708957	57.5363476972084	0.84313119279537	-0.0608707407156413	0.414616859269045	0.493837723091822	0.462548959708769	-0.751104114675149	-0.424529236661698	0.421489044870238	1.19013680889996	1.61805922941388	830.755807422347	11.6041026039581	62.8902754182544	0.83556744295439	-0.0715858060665536	0.00535518402909086	22.1631520532741	0.397221114395339	19.384147639015	0.278866515477157	25.4100998890122	624.831263508633	1.46312043426997	2.38696754106296	22.1631520532741	1.01320001552223	0.0586804549676498	0.366570435642934	0.00616505524144674	27.0998781973203	0.199690021892333	17.93086362699	0.237980374034953	25.0073081607795	597.522723720394	1.40859744579017	2.33383767245786	27.0998781973203	1.05242502516574	0.0560146314276776	0.354744359537374
C6	NA	922.426599749059	12.2923462986198	40.5251413562756	0.722952829343221	0.0436647550035875	797	164	15.9308151066812	3.18911043970611	8.32178582242066	23.6735093744783	0.367515437793687	0.108407138187234	0.104654117647059	0.188078431372549	0.215686274509804	0.349019607843137	0.568627450980392	0.651137254901961	921.927823595566	11.9795024902265	40.0089075822603	0.722832276580913	0.0545890334755107	0.318068179531544	0.338083865343026	0.290952395004166	-0.43864212786647	-0.226227569069008	0.299719046598279	0.912396615236484	1.24341478444853	921.964045460575	11.2408294673215	42.1106105091114	0.702431376731288	0.0769704420253865	0.00849353174266042	18.5749824807288	0.21731535094074	12.8661982850021	0.288553732410111	23.9772249474422	541.789378489895	1.3299388444537	2.20581609054312	18.5749824807288	0.977059340457063	0.0319182630942428	0.262770031842526	0.00850780532598717	23.8181818181818	0.0383567311692105	13.3841046831956	0.257774263125603	24.1454545454545	547.519078104458	1.30249411581984	2.18345662885369	23.8181818181818	1.02096781836075	0.0471491605531787	0.316331891675005
C7	NA	230.885006634233	39.2096417514374	59.4960107457379	0.393560764725182	-0.66924345938243	2261	551	26.4247234032871	4.27600150561158	10.700665897259	35.1260070895731	0.390646165586978	0.131258142994877	0.145352941176471	0.137254901960784	0.188235294117647	0.384313725490196	0.615686274509804	0.715294117647059	230.733733222631	38.4240484129486	58.9728717792763	0.407616279971661	-0.611363132660161	0.303701252170316	0.454575285110586	0.4302736216822	-0.823815037562275	-0.480730198868856	0.320553952624084	1.02668090804007	1.28664910407046	231.219024160737	39.7132541975295	64.057094036246	0.362091300147545	-0.693750952716982	0.00565474055998285	21.402831243015	0.392024016242184	18.6017078098439	0.292323148371466	25.5021731031914	627.23478791484	1.45574326592697	2.385534997717	21.402831243015	1.0046223065737	0.0531033961407023	0.349318462531858	0.00522593140524104	29.4034991798797	0.178483019594553	18.8958560085806	0.218874624807736	25.7807545106616	635.605847712698	1.42041947892903	2.38250668217683	29.4034991798797	1.06954899732546	0.0310073978171458	0.268872508794966
C8	NA	989.370078740158	46.2748406449194	62.2404132789709	0.343435092143985	-1.16503870922161	2667	454	28.7591607692344	3.75719602272158	17.800011387715	37.7196224904397	0.41647294088239	0.134974247434748	0.145352941176471	0.151607843137255	0.207843137254902	0.411764705882353	0.649803921568627	0.749019607843137	989.106557405989	45.3464625031334	61.2915246383817	0.32727301985724	-1.06313583495454	0.295442531628302	0.43884145319604	0.409465113929774	-0.809738993491919	-0.475211149090902	0.306744765415585	0.97537508410418	1.31570243477159	988.615896635352	45.3361467598141	66.5842489854792	0.313292661893599	-1.48925703003915	0.00518002315781232	23.3836477987421	0.355612081633868	19.1440768303293	0.27328826110144	27.0610671535809	704.722692059689	1.45774642096661	2.41354184079371	23.3836477987421	1.02452090838137	0.0433834936461123	0.318592002864644	0.00495971828015169	31.3580299785867	0.16629803035336	19.8064986771456	0.217444493222417	27.1139186295503	703.567053407202	1.42931061857988	2.42081635425037	31.3580299785867	1.08205739197026	0.0329335008441598	0.279038247907945
C9	NA	301.029891304348	22.8559782608696	26.2439910779554	0.612675617607455	0.107546036881322	368	93	10.5099631467673	2.15519106961059	5.52152369881056	15.0883818538397	0.267092924126172	0.0108467202554684	0.0116282352941176	0.243137254901961	0.243137254901961	0.266666666666667	0.27843137254902	0.291490196078431	301.024098308331	22.8478295563358	26.1501275823817	0.61277843225007	0.113537708149328	0.138180508458946	0.024573269855409	0.0258180204151848	0.0836498950888792	0.0999431505805338	0.137007934225552	0.180166436062047	0.190897234185884	301.099415385327	22.8931626921722	26.0550072084966	0.619437528315321	0.114601030128093	0.547088583910105	0.257989088074825	0.056488746352191	1.13671754686411	0.872876071706937	17.7435697583788	303.610900810554	0.327427254621752	0.408514159818797	0.257989088074825	0.249908158789956	0.00446687437121636	0.0427456984007678	0.460653983353151	0.351724137931035	-0.0150298538191904	1.17325802615933	0.832413793103448	17.7724137931034	302.861681433729	0.379300976042138	0.495586878621403	0.351724137931035	0.29029588122253	0.0064173790314766	0.0564404281779569
C10	NA	55.7130531589201	54.5032006679655	72.2273382992916	0.363063471570928	-0.26787037010492	3593	481	32.7410632806256	4.37992270069702	21.4968248972823	41.7568843328657	0.41670677733938	0.139589818374506	0.151167058823529	0.152941176470588	0.2	0.411764705882353	0.658823529411765	0.737254901960784	55.6866469526681	53.2618146482518	71.0050644888693	0.400668357967638	-0.267922467290741	0.278925861397412	0.436426864598495	0.434305985824134	-0.779604809191928	-0.455003007174731	0.283260052653623	0.974600048936297	1.23930987985982	56.2692340458061	52.8344147549933	77.6955481937772	0.459383881414998	-0.274818052321895	0.00479490813460682	22.004151530877	0.427530389873676	20.218619767451	0.26908898555604	27.0356586848543	707.958913385384	1.48006074924623	2.42882659784739	22.004151530877	1.01395372293855	0.0476985663863582	0.334529305655964	0.00445594805972862	29.1180707798309	0.243557325681941	20.2467134446643	0.223405248175898	27.4356404635139	723.115679361177	1.45012726168644	2.44789817038886	29.1180707798309	1.07110911932571	0.0282873584729851	0.260438208383479
