Type	x.0.m.majoraxis	x.0.m.eccentricity	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.majoraxis	x.a.m.eccentricity	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.majoraxis	x.Ba.m.eccentricity	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
1	regular	1.28312006775745	-2.70096716403544	1.64296349642246	1.07669989804306	1.2218323349837	0.0206227608063995	1.32135209217195	1.11311746467945	0.293938603024646	0.942424781901	0.932740181299411	-0.962144050707359	-0.808211173757971	0.662871730885899	0.352443245830025	0.235797886831153	1.31355608898436	-1.81772293738653	-0.231702393311683	0.967648659847336	1.17512120912333	-0.966033761980864	-1.20815335991831	-0.0102828694722978	0.609644435416268	0.645540885782407	1.28521310567616	-2.42281970299622	-0.999200079605948	0.700907430225532	0.16825935650041	0.850495794801097	-0.659371054971306	0.301570361731712	0.350682444283697	0.650950255566003	0.666171298238391	0.700907430225532	0.659759315573189	-0.172528605489447	-0.0794938265213935	-1.32245117984954	0.786131064845213	0.017097985195241	0.946016640478823	-0.865499890808971	0.383621309173637	0.427893684823029	0.709053028945881	0.813025768135513	0.786131064845213	0.707936550065228	-1.13342684584482	-1.03764211920511
2	spiky	-0.101565618792643	0.106754838894438	-0.204558351922718	0.466662878369394	-0.178587154224258	-0.171224770613776	0.246150114055639	-0.043008384150743	-0.196162181630074	0.283344561374235	-0.0616534264442797	-0.51185047264192	-0.44111777143758	-0.302735169027945	0.165746352837022	0.136599605362636	-0.0848686796636748	-0.0135368518530429	0.345823003859523	0.55342949655713	0.665555681720978	-0.295661227320652	-0.411095614038069	0.470417709339786	0.65508239271893	0.412418486291296	-0.116112270308012	-0.36830755097533	-0.318639084984967	0.807833694467551	-0.942717163611112	0.313352108185584	-0.763198099826241	-0.24501173199379	-0.24334810667162	0.287690505474855	0.459729254503707	0.807833694467551	0.690546696648441	-0.79004122714791	-0.753382239729042	-0.425093173138555	1.08294528883507	-1.3224746551697	0.591055434378027	-1.29748779562371	-0.125311071333533	-0.122287875387557	0.308954827523668	0.489933904107787	1.08294528883507	0.865561295411677	-0.122805117160436	-0.066619183536728
4	regular	1.15095869244047	-0.142141296871142	1.31629836937099	1.0814468660971	0.948698105957419	0.0172417867433749	0.859093830400941	0.849893922521115	0.888151884522519	1.0321319805601	0.758203247341876	-0.510157614274176	-0.44111777143758	1.13023020276994	0.952401469612657	0.830462701751404	1.11209285242377	-0.539272840810961	0.125523286097915	0.969340779812791	1.04886776222933	-1.46359341443996	-1.30314847490638	0.525324476881739	0.552003336544543	0.444464365885565	1.12250236279276	-0.634998809227019	-1.02955314500229	0.68219549570394	0.467313320657403	1.04352148106752	-0.466992287958654	0.878124610392479	0.931735286809034	0.762098347388204	0.745268785839802	0.68219549570394	0.6372114444162	0.181517269420018	0.332108050539188	-1.27083308402386	0.748766021854449	0.0179482124638548	0.89931918203138	-0.733521235866378	0.846952598252314	0.876854910896579	0.70240539402689	0.84343773354512	0.748766021854449	0.693952269649179	-0.871450375581228	-0.780356925757544
5	spiky	0.449663461946343	0.0506967833555504	0.266894414083508	1.00109027637279	0.209847780292791	-0.0619553742029684	-0.0563826509191857	0.407213625013666	0.230257234753256	0.690104100316166	0.419546103388659	-1.16131150789172	-0.620161523016959	0.209106459950367	0.548151543427569	0.389392205148273	0.475751844918321	-0.0201058799264562	0.944399030681268	1.15365646293718	1.13457586858827	-1.09988109306538	-1.05499901610247	1.27739761123027	1.07366822942914	0.879774054031927	0.551938059966771	0.288319621805318	-0.800149671621584	0.816097700323383	-0.167205171171995	0.764146537322684	-0.289312048529091	0.210999869262852	0.247934146128017	0.587977871883759	0.670866374238061	0.816097700323383	0.676624037437836	-0.0493821097804008	0.0558419076875723	-0.944228493896163	1.03295404065466	-0.802296278622979	0.784737358553409	-0.454604012541288	0.115716205758386	0.135088965314021	0.513076379698143	0.714057542651255	1.03295404065466	0.845224530843732	-0.414479034511735	-0.334386527190229
7	regular	1.16078218299076	-0.0767339014927566	1.33931282728739	1.15988354676809	0.98907498235906	-0.0200498308189047	0.694604260242784	0.779526228659724	-0.0625092300574566	1.00611549162171	1.11068857126796	-1.16131150789172	-1.1090266295752	0.209106459950367	0.256193263405002	0.134928457108005	1.16043406623294	-0.120699071985472	-0.396613245959381	1.09570363896197	1.20042613196511	-1.64678156452877	-1.64658570680449	0.292581520012438	0.408224079420343	0.361126936048747	1.14511721631751	-0.400294615894018	-1.01846885807372	0.934344265577998	-0.0781808515703058	0.961282130806448	-0.404790280952537	-0.0472061795267	0.0167472394608516	0.666156784836402	0.694837727724558	0.934344265577998	0.771444244877184	-0.1917434808788	-0.0939418114059583	-1.28528911613596	1.04420153998914	-0.595316689618151	0.90630940424349	-1.07714335504932	-0.0325560598094139	0.00303802842909392	0.606538967633612	0.785317725883497	1.04420153998914	0.84082656910185	-1.31146996852805	-1.20574702768238
8	spiky	-0.585927974553847	-0.193826136292537	-0.606651983138003	-0.258841816792518	-0.41572121700654	-0.242014364504121	0.0731142286440259	-0.407301835964915	-0.487231105696124	-0.34597984396768	-0.509370079747599	-0.258284351141981	-0.270343904078507	-0.44544228462475	-0.43159306934045	-0.432624507174618	-0.501893279119019	-0.0500822721500075	-0.00328093468836727	-0.434184449091582	-0.404035017731509	0.458058983320469	0.289106014725247	0.0133797414918733	-0.232631827530467	-0.267630134241964	-0.485440655869527	0.0824776069976978	0.089752116024173	0.353009806152106	-1.53863616226502	-0.359157243174288	-0.450474310375499	-0.505323422910776	-0.552983231029946	-0.126098991990611	0.150507781019716	0.353009806152106	0.408408065343723	-0.700533212437001	-0.725992591829834	0.112625141234818	0.413851163281489	-1.57936252347517	-0.164882246503873	-0.951839731458373	-0.365458880250969	-0.403615404246426	-0.104534590710317	0.13128744035109	0.413851163281489	0.444195726787022	0.569055276303334	0.619362086374378
10	regular	0.825735364970298	0.426622017614684	0.410788944875975	1.22577734082647	0.320913022583596	0.133205940931247	-1.45212810414325	0.815353039142345	0.159036400483486	1.03938436313337	0.758203247341876	-0.988357144960394	-0.808211173757971	0.13481964580548	0.64760985860009	0.921221438552433	0.823153391473699	0.432843994260201	0.947965523108906	0.883590727102934	1.23108528837281	-0.647495750435838	-0.582042821255283	1.34573786409346	0.768971985002221	0.816877680863683	0.779120284850464	0.361367183723868	-1.10288802414313	1.71581233385653	-1.07463330242282	1.1396623131575	-1.07701953324303	0.195891652685564	0.239348339380498	0.606960085396825	0.835825463569127	1.71581233385653	1.15363233516412	-0.603266810854026	-0.498402998724771	-1.20120220570873	1.53290134743911	-1.16934595532373	1.13878393019112	-2.00781565989001	0.0195593112547569	0.0536394128047752	0.585657405364962	0.822092607896275	1.53290134743911	1.0589465971495	-0.378181042467133	-0.275864493444392
12	spiky	0.126022884197018	0.52400801969262	-0.137517668115739	0.729717914199288	-0.0396921248548661	-0.0986726531058054	-0.0528202110026885	0.148995041396529	-0.0454773829513298	0.23442726691219	-0.0616534264442797	-0.595855108954668	-0.620161523016959	-0.0125928972551473	0.16101272522916	0.0518036327481855	0.180495482294291	0.589806272541147	0.447683417473	0.485340996273493	0.599505803091575	-0.649131023136971	-0.534159117946911	0.797176522192873	0.387520461271583	0.257713592629748	0.258563319843878	0.795254882174143	-0.510493023316345	0.55033224373108	-0.396271875423149	0.333256391849389	-0.549310648991208	-0.0877071497179104	-0.0789444357409814	0.366661975807135	0.484112027752704	0.55033224373108	0.55171588123513	-0.319467730132713	-0.275437997320086	-0.401837230016209	0.712802064411976	-0.323987953434453	0.664500592092818	-0.399706813429888	-0.0670088729372398	-0.0371966158978321	0.493463867542974	0.492148935289717	0.712802064411976	0.662760159703279	0.274775614880273	0.376199049599568
13	regular	0.548695553680877	0.181653297532801	0.463843905941074	0.580932736099765	0.329861634692779	-0.100141752967597	0.288846576595258	0.288083736020414	-0.0313318106582396	0.392694558500659	0.587122819912595	-0.370085463276131	-0.354739697012737	-0.0125928972551473	0.139744486925169	0.0233223642451902	0.552683470170557	0.062148967342015	-0.225804122911743	0.323285015633851	0.485952108169544	-0.397484564225931	-0.511762222249432	-0.024563844322355	0.18835471499197	0.0679055076883055	0.523501252032932	-0.0803330117877988	-0.639325274232619	0.800184026338642	-0.879792219784398	0.337892962506195	-0.977037463133595	-0.0648068972339624	-0.0666916666549128	0.319286240112734	0.496287336522336	0.800184026338642	0.722086705340939	-0.876855467323895	-0.830148669086785	-0.764287394176543	0.899204942914824	-1.04022031370939	0.525726745339911	-1.13252918795742	-0.116900781987923	-0.11369265350905	0.374724921425498	0.575841926483068	0.899204942914824	0.755657754718878	-0.847349733129387	-0.798080819876121
14	spiky	0.623373113071288	-0.533767152898283	0.547337848245208	0.862062765454064	0.439487792230768	-0.0423125614130085	0.305523854172231	0.513652621392111	0.0542339230535935	0.576821402468157	0.758203247341876	-0.322518324901046	-0.620161523016959	0.209106459950367	0.256193263405002	0.123239919305517	0.626492231993264	-0.709154962927324	0.301957777612939	0.265068949936541	0.392725931308038	-0.619881214975478	-0.423902126864844	0.594831056677474	0.103246117351471	0.139932108515356	0.651844645324698	-0.868794720358672	-1.0055767785277	1.27891618551131	-1.28133804422023	0.58906859747433	-1.24790208740149	0.027709627477997	0.031941184540962	0.37667982466635	0.615130144892804	1.27891618551131	0.962744229714575	-1.14228395345883	-1.05863771799716	-1.06952945251273	1.062068024691	-1.16595524509964	0.640186840458099	-1.38353132887541	0.00595832449671189	0.0107215780001652	0.389273370863711	0.663268894095062	1.062068024691	0.838129185924164	-0.974125225712617	-0.907378680720632
17	unidentified	0.961940256547153	1.71948387890382	-0.105630533861629	0.362209792882194	0.191986868248122	0.0962637265947174	-0.884384275242611	0.420453470317184	-0.49422531166945	0.0767189488315025	-0.363953796821303	-0.762175372138625	-0.620161523016959	-0.516199747215158	0.0202471259325665	-0.0765842594766428	1.00399158865435	1.73010156064888	0.0560231596338879	0.108524163490779	0.0314250185102404	0.0176035533251478	-0.0854315489693413	-0.182624306188863	0.0623077645917352	0.406861933679536	1.0219835988317	1.73634859463519	-0.0204402761941203	0.589386807211233	-1.10435908709124	0.0266591848033108	-0.30381939534253	-0.516159960564306	-0.529255713659723	0.135147669237888	0.311916976433862	0.589386807211233	0.55031858978209	-0.538411378879221	-0.53510018082717	0.138471502569034	0.209362710676554	-1.16809466158052	-0.231242756481598	0.0893443829178311	-0.65554092446561	-0.685701827074341	-0.0268873664474259	0.16626032038249	0.209362710676554	0.332214889846177	-0.659047810417078	-0.683870962531335
