Type	x.0.m.cx	x.0.m.cy	x.0.m.majoraxis	x.0.m.eccentricity	x.0.m.theta	x.0.s.area	x.0.s.perimeter	x.0.s.radius.mean	x.0.s.radius.sd	x.0.s.radius.min	x.0.s.radius.max	x.a.b.mean	x.a.b.sd	x.a.b.mad	x.a.b.q001	x.a.b.q005	x.a.b.q05	x.a.b.q095	x.a.b.q099	x.a.m.cx	x.a.m.cy	x.a.m.majoraxis	x.a.m.eccentricity	x.a.m.theta	x.Ba.b.mean	x.Ba.b.sd	x.Ba.b.mad	x.Ba.b.q001	x.Ba.b.q005	x.Ba.b.q05	x.Ba.b.q095	x.Ba.b.q099	x.Ba.m.cx	x.Ba.m.cy	x.Ba.m.majoraxis	x.Ba.m.eccentricity	x.Ba.m.theta	h.asm.s1	h.con.s1	h.cor.s1	h.var.s1	h.idm.s1	h.sav.s1	h.sva.s1	h.sen.s1	h.ent.s1	h.dva.s1	h.den.s1	h.f12.s1	h.f13.s1	h.asm.s2	h.con.s2	h.cor.s2	h.var.s2	h.idm.s2	h.sav.s2	h.sva.s2	h.sen.s2	h.ent.s2	h.dva.s2	h.den.s2	h.f12.s2	h.f13.s2
C1	NA	107.234703739499	55.4095606274626	151.036558668722	0.588411579461699	-0.178679197133252	13451	932	65.278753219267	12.0622156430722	30.8367150837134	88.994716975305	0.449550073542167	0.152887289343659	0.162795294117647	0.115686274509804	0.184313725490196	0.454901960784314	0.692156862745098	0.780392156862745	105.949509682164	52.9677436300187	145.77586707682	0.579126321769075	-0.207478859042963	0.283756647127417	0.480008117893494	0.452043439356398	-0.906699085702074	-0.52792363248096	0.288995496748781	1.06772376727788	1.40543859206284	106.736071682474	53.2967829658638	156.66949225352	0.562242061411963	-0.211782154225051	0.00482370761976907	18.1841490039995	0.594612633999706	23.428115093239	0.299913159866667	29.1301852889464	832.760494332198	1.53974884870065	2.45760186697441	18.1841490039995	0.970444928512353	0.0871469329381129	0.447925739707718	0.00409810062507808	25.8971925662317	0.417671734969778	23.2359055204781	0.239568298902998	29.1925662317121	829.285779009446	1.51153753887334	2.51129835211782	25.8971925662317	1.0457552451127	0.0434487702878523	0.324870276505726
C2	NA	387.406377204885	53.9041157847128	114.448547434645	0.285279700241194	0.495899110443548	8844	931	52.4833624133009	8.17745424458062	29.1836976833909	74.1141579174725	0.44349908212946	0.139490214282663	0.145352941176471	0.133333333333333	0.2	0.450980392156863	0.666666666666667	0.745098039215686	387.342261654809	52.7490321819498	112.152313494925	0.295746366069093	0.142967899213613	0.305981689649755	0.472505113528538	0.421953096101969	-0.930519177006662	-0.525732589994849	0.315669089004809	1.06192470048018	1.42396571271304	387.564820642931	53.3736155525359	123.42016698629	0.340370334913952	-0.177833278455513	0.00567505210645564	17.4767913608973	0.535458827701756	19.8108098948834	0.308335519607722	28.7590537557425	801.163115465711	1.49375223078088	2.40230603309095	17.4767913608973	0.961977182443585	0.0742663805753259	0.411263356354445	0.00484016951243209	25.2798318288611	0.331058805560633	19.8954066807383	0.247432946199169	28.6986521577841	792.053815423013	1.46352740079204	2.45299440187601	25.2798318288611	1.04092877929359	0.0337570719910674	0.284214590186333
C3	NA	511.244318181818	6.79829545454545	38.0293739898309	0.904019597899703	0.0589129096774257	352	123	11.3997355395144	4.78371097482585	0.311605982060771	20.6165028004012	0.369162210338681	0.0859895081184909	0.0755835294117647	0.16478431372549	0.229607843137255	0.368627450980392	0.515098039215686	0.594078431372549	511.660580637373	6.80818445195558	37.5157014524613	0.899472553439399	0.0711130958751715	0.442515020076905	0.367828727606071	0.374508174090048	-0.437627101340671	-0.171777736642685	0.442454728556092	1.02816397325197	1.25728456683506	511.266943135906	6.69337658402057	39.8969130465393	0.900181164971103	0.0708643718305516	0.0145850694006044	10.1189279731993	0.345635191969252	8.73187054760123	0.349490832900888	23.9380234505863	534.934078472591	1.2636872032915	2.02896345244386	10.1189279731993	0.857138046865078	0.0569566195943153	0.334885306107223	0.0168597055239941	12.3103448275862	0.0727390638743898	7.63801544310858	0.29720427731005	23.6973180076628	521.788924212398	1.16850962222997	1.91155240131752	12.3103448275862	0.88929885725807	0.0741946444251421	0.370077358872047
C4	NA	608.094063714966	95.3670864039923	316.582055203934	0.943071440391801	-0.666769948832154	17233	1724	93.5557920868065	40.3221342488809	5.76065936335617	170.866250861718	0.427197249235678	0.143176962309389	0.151167058823529	0.137254901960784	0.192156862745098	0.419607843137255	0.666666666666667	0.772549019607843	610.440809638616	92.2335914369818	304.735009805263	0.938616964228371	-0.661667907692295	0.299076459307883	0.462571786477336	0.454512113527014	-0.850341423077581	-0.478161271776107	0.304279143083058	1.04360171368459	1.31777086802167	612.199591245695	91.3857316370026	316.764290517662	0.926585260921746	-0.676632966264378	0.00518591166253375	17.2819105722213	0.565365243163406	20.8809578621879	0.296773448637752	27.7666661557092	751.699699087965	1.50913812637187	2.41965145258425	17.2819105722213	0.962007747897597	0.0774558664605464	0.420914737888484	0.00440464672059031	24.7877247601499	0.384084072662619	21.1226528329175	0.239134507755696	27.7236164940593	744.153362489448	1.48527668533807	2.47308766045905	24.7877247601499	1.03789651751068	0.0357816188056839	0.293535366320537
C5	NA	860.976817836331	39.2951608816823	116.73081037494	0.602473654031197	-0.108369492258706	7894	675	50.589935644792	8.95681046497364	25.0467391677146	70.1417498274848	0.44225646681272	0.136857035236308	0.139538823529412	0.12156862745098	0.207843137254902	0.443137254901961	0.666666666666667	0.752941176470588	860.748882615987	37.743793028692	115.219708586576	0.605472810699948	-0.0898544250131031	0.300027862828322	0.47822198003129	0.44973359763049	-0.908558541201514	-0.518662360719285	0.312890151772846	1.0657116508046	1.41550507932475	861.195137442809	37.0760569811615	125.529462107355	0.596632532357248	0.00882175057050365	0.00572409294839164	17.5301276343129	0.520313335498305	19.2724775687932	0.295199533570933	28.5568747732595	788.298618264125	1.48772562476821	2.40363788969971	17.5301276343129	0.962678338073898	0.0670331479054797	0.39186196280813	0.00497719350655772	24.818843509907	0.316440990070799	19.1541338416983	0.239666586854435	28.386440221054	773.139806995593	1.45426401602548	2.44346491728785	24.818843509907	1.03687207982282	0.0298706995404535	0.267238072660596
C6	NA	243.792685202463	123.942339988804	93.7661327386109	0.511960284557162	-0.95250223158531	5359	624	41.2526962316499	7.24478814932651	22.9394525415491	58.7793616391064	0.40030953975171	0.12630324750499	0.122096470588235	0.101960784313725	0.188235294117647	0.396078431372549	0.615686274509804	0.701960784313725	244.191234295053	122.939476200139	91.9483416506156	0.507601401313888	-0.950207399101805	0.281930986268086	0.439483786656328	0.438708235130684	-0.804754753169152	-0.482604151958704	0.297447389212691	0.97790486806896	1.20526687952494	244.199789680148	123.295965205817	98.8501538834023	0.403004331540445	-0.70009467041394	0.00657200214178636	16.3296882731321	0.482667102983822	16.7825728532987	0.295032005170955	25.9816427511133	648.623224078341	1.44956944007255	2.35141184996252	16.3296882731321	0.950135282486078	0.0586407862743134	0.363902892070556	0.00589595805244762	23.8978207236842	0.256603035610683	17.0733913833745	0.235217068082046	25.9792351973684	643.815227195334	1.41463704503708	2.39084213981663	23.8978207236842	1.02887884633159	0.0262181950268798	0.248074765229695
C7	NA	691.557981287213	196.222852282393	101.608853075969	0.78410935851459	-1.28999642612261	3527	675	37.7913514394691	10.3827824927014	16.4716060634661	63.9316743992773	0.379425941059724	0.122948781609714	0.122096470588235	0.101960784313725	0.168627450980392	0.380392156862745	0.584313725490196	0.653882352941176	691.378986080586	195.989682051282	99.5139478165773	0.776659775704749	-1.26887882392344	0.338477843416161	0.445509272859528	0.441492503912752	-0.771701149269965	-0.478087727229688	0.374911515942896	1.0142710280061	1.23350092989681	691.184137540329	197.4275792761	109.329682826596	0.779394499136853	-1.24511542667113	0.00662007950271719	15.6885763943751	0.467635595391115	15.7348097079304	0.292779411332636	24.7879601832833	588.82760232273	1.4303716971963	2.32182261502938	15.6885763943751	0.943038773164659	0.0566916974015319	0.355939475409748	0.00570075382504852	23.1744145403705	0.215197808316528	15.7644940253412	0.232346474061938	24.7724571828032	582.613456938798	1.39020118861386	2.35138818772217	23.1744145403705	1.0240904912316	0.0247068810437206	0.239009478635819
C8	NA	959.507848371596	208.614522156967	126.668689056594	0.44834001742668	-0.752595101127405	9365	1171	56.0626070769333	10.8509774025189	24.9931071905115	80.0240489132766	0.437399997906263	0.154458803799119	0.168609411764706	0.113725490196078	0.180392156862745	0.43921568627451	0.686274509803922	0.784313725490196	959.922207202377	206.896087670792	124.816546296247	0.474106033182199	-0.686023373782101	0.30459572421912	0.508103869531374	0.475471477028877	-0.982573237952619	-0.570253247943273	0.323859383959744	1.10645901006177	1.49432322382146	960.297416133678	207.752793069452	133.48382165895	0.423432005179883	-0.490103012821936	0.00458291143971126	20.9428922760159	0.547101028299637	24.1209315814829	0.295578313827008	28.4860304841431	797.631129739932	1.53996777193937	2.47668661881744	20.9428922760159	0.996462718577449	0.0799453789807811	0.431712121034055	0.00372724134224001	30.9226705091258	0.349046038212234	24.7518106689146	0.229301276812819	28.6556195965418	800.628551528002	1.51627584321073	2.541533864346	30.9226705091258	1.08107753063918	0.0371507836522097	0.30285981856028
C9	NA	17.0647840531561	220.993632336656	138.739532414148	0.954568322039341	-1.56507391097221	3612	483	40.102140544534	17.4360954468801	4.9606806720324	74.4869384852391	0.4015623303585	0.134148630710851	0.139538823529412	0.110235294117647	0.164705882352941	0.407843137254902	0.619607843137255	0.701960784313725	16.2453665276062	219.312759048621	135.703517147817	0.952254813458088	-1.56923526788522	0.322744030261906	0.481533221169268	0.476559620544377	-0.87892680327591	-0.540948891208129	0.359243215854784	1.06034082365619	1.36002750077433	16.4318856705312	220.958050533646	143.536551579489	0.946946400778282	-1.57009018648346	0.00579359977828414	16.6491763270287	0.529688804755674	18.7001701164901	0.297660155119725	26.0204392922514	656.366891651737	1.48036212218516	2.3741284727836	16.6491763270287	0.957152729177835	0.0724263582539947	0.404243310437076	0.00512210084725872	23.8851767758676	0.302135578805536	18.1130495053651	0.241632094815182	26.0246513136555	649.061097185119	1.43819008110873	2.40389651947404	23.8851767758676	1.03164654867866	0.0365873241863974	0.292737122821431
C10	NA	261.662352693603	263.919928451178	329.595488615489	0.943264556031365	-0.51568196830415	19008	1812	86.5459727873324	41.5976277237761	4.58514705625424	155.901789420097	0.444656326335248	0.143656418349504	0.151167058823529	0.12156862745098	0.2	0.447058823529412	0.67843137254902	0.768627450980392	257.64352398102	264.685057582193	322.987308475122	0.944287303344517	-0.504953541302889	0.292609660966175	0.456607254465608	0.430047408738715	-0.896418025635723	-0.507715561420349	0.318101714929974	1.01046664288163	1.30322480989209	261.811008216882	263.864639905535	329.648284417424	0.938838970547976	-0.504305755057613	0.00544699722929423	16.1113010629644	0.598880299211045	21.0829092055008	0.308323920650923	28.8266995712296	809.980939482972	1.51808181558457	2.4137838339522	16.1113010629644	0.946598129791526	0.0890663079882849	0.448908692581107	0.00457225792708397	23.2046477188586	0.426254516512508	21.222074409902	0.246227099326372	28.861422794327	806.61707937486	1.49477467194804	2.47347619063177	23.2046477188586	1.02314416212493	0.0434578477973203	0.322580063771373
